job_posting_id,job_title,company_id,company,location_id,job_location,job_level,job_type
1,Senior Machine Learning Engineer,1,Jobs for Humanity,1,New Haven  CT,Mid senior,Onsite
2,Principal Software Engineer  ML Accelerators,2,Aurora,2,San Francisco  CA,Mid senior,Onsite
3,Senior ETL Data Warehouse Specialist,3,Adame Services LLC,3,New York  NY,Associate,Onsite
4,Senior Data Warehouse Developer / Architect,4,Morph Enterprise,4,Harrisburg  PA,Mid senior,Onsite
5,Lead Data Engineer,5,Dice,5,Plano  TX,Mid senior,Onsite
6,Senior Data Engineer,6,University of Chicago,6,Chicago  IL,Mid senior,Onsite
7,Manager  Cyber Risk & Analysis (Machine Learning),7,Jobs for Humanity,7,Boston  MA,Mid senior,Onsite
8,Principal Associate  Data Loss Prevention (DLP) Engineer,8,Jobs for Humanity,8,Scranton  PA,Mid senior,Onsite
9,Senior Financial Data Analyst,9,The Walt Disney Company,9,Lake Buena Vista  FL,Mid senior,Onsite
10,Machine Learning Infrastructure Engineer,10,L&T Technology Services,10,Sunnyvale  CA,Mid senior,Onsite
11,Sr. Workforce Management Data Analyst,11,Wisemen Multimedia  LLC,11,Atlanta  GA,Mid senior,Onsite
12,Master Data Management - Data/Process Analyst,12,OpenText,12,Pasadena  CA,Mid senior,Onsite
13,4 Corporate Associate Positions (AmLaw),13,LHH,13,Atlanta  GA,Associate,Onsite
14,Sr. Database Administrator,14,Dice,14,Yorba Linda  CA,Mid senior,Onsite
15,Senior MLOps Engineer,15,Recruiting from Scratch,15,Atlanta  GA,Mid senior,Onsite
16,Data Engineer Manager,16,Energy Jobline,16,Wolverhampton  England  United Kingdom,Mid senior,Onsite
17,Data Analyst Part Time,17,Toyandsons,17,Waterloo  Ontario  Canada,Mid senior,Onsite
18,Summer 2024 Datacenter ,18,AMD,18,Austin  TX,Mid senior,Onsite
19,Enterprise Data Manager/Product owner,19,DMVTEK,19,State College-DuBois Area,Mid senior,Onsite
20,IT Database Developer Senior - DBA Admin,20,Experis,20,Minneapolis  MN,Mid senior,Onsite
21,Contractor - Epic Clarity Data Analyst - Revenue Cycle,21,Deloitte,21,Mississippi  United States,Mid senior,Onsite
22,Data Engineering Architect,22,Dice,22,Greenwood Village  CO,Mid senior,Onsite
23,Staff Data Engineer  Fleet Analytics,23,Tesla,23,Palo Alto  CA,Mid senior,Onsite
24,Senior Data Engineer - Azure  Python  Scala  Spark,24,Templeton and Partners - Tech Recruitment,24,London  England  United Kingdom,Mid senior,Onsite
25,Senior Data Engineer  Public Company,25,Recruiting from Scratch,25,St Louis  MO,Mid senior,Onsite
26,IT- Data Lifecycle Manager,26,LaBella Associates,26,Albany  NY,Mid senior,Onsite
27,Lead Software Engineer  Full Stack (Enterprise Data),27,Jobs for Humanity,27,Fredericksburg  VA,Mid senior,Onsite
28,Senior Architect - Data Analytics Product Line,28,RSC2  Inc.,28,Washington  DC,Mid senior,Onsite
29,VCP Design to Value Project Manager and Data Analyst-MR,29,GE HealthCare,29,Waukesha  WI,Mid senior,Onsite
30,Lead Data Engineer  (Python  Java or Scala),30,Dice,30,Philadelphia  PA,Mid senior,Onsite
31,Data Scientist,31,Futran Solutions,31,Dallas  TX,Mid senior,Onsite
32,Senior Data Analyst,32,Huws Gray,32,Awsworth  England  United Kingdom,Mid senior,Onsite
33,Data Visualization / Business Intelligence Analyst (3019),33,SMX,33,Port Hueneme  CA,Mid senior,Onsite
34,Principal Associate  Data Loss Prevention (DLP) Engineer,34,Jobs for Humanity,34,Paris  TX,Mid senior,Onsite
35,Data Scientist,35,RAND Corporation,35,Washington  DC,Mid senior,Onsite
36,Senior Data Architect,36,UK Health Security Agency,36,National  MD,Mid senior,Onsite
37,Senior Data Engineer  Public Company,37,Recruiting from Scratch,37,West Lafayette  IN,Mid senior,Onsite
38,Data Quality Manager  FOOTBALL ASSOCIATION,38,Guardian Jobs,38,Wembley  England  United Kingdom,Mid senior,Onsite
39,Senior ML Engineer,39,CyberCoders,39,Santa Clara  CA,Mid senior,Onsite
40,Director  Ontology and Data Modeling,40,Jobs for Humanity,40,Richmond  VA,Mid senior,Onsite
41,Sr. Data Scientist,41,ANSER,41,Washington  DC,Mid senior,Onsite
42,Sr. Data Engineer - ETL with Security Clearance,42,ClearanceJobs,42,Chantilly  VA,Mid senior,Onsite
43,Assitant Vice President - Senior Database SME,43,MUFG,43,London  England  United Kingdom,Mid senior,Onsite
44,Sr Analyst IT - Data Science,44,Reynolds American Inc.,44,Winston-Salem  NC,Mid senior,Onsite
45,Electrical Data Center Project Manager,45,Miller Electric Company,45,Dallas  TX,Mid senior,Onsite
46,Distinguished Engineer  Card Tech Data (Remote-Elligble),46,Jobs for Humanity,46,Boston  MA,Mid senior,Onsite
47,Quality Coach / IQA - IT and Data Apprenticeships,47,KM Education Recruitment,47,Sheffield  England  United Kingdom,Mid senior,Onsite
48,Staff Data Scientist  Financial Strategy,48,Stripe,48,Seattle  WA,Mid senior,Onsite
49,Senior Counsel  Data Privacy and Cybersecurity,49,Professional Diversity Network,49,Cypress  CA,Mid senior,Onsite
50,Data Engineering Manager - San Antonio,50,Argo Group,50,San Antonio  TX,Mid senior,Onsite
51,Data Operations Manager,51,Tredence Inc.,51,St Louis  MO,Mid senior,Onsite
52,Configuration and CDRL Data Manager II/III (Top Secret),52,Aegis Aerospace Inc.,52,San Antonio  TX,Mid senior,Onsite
53,RDM Release Manager  Data Center and DMZ,53,Bank of America,53,Charlotte  NC,Mid senior,Onsite
54,Contractor - Epic Clarity Data Analyst - Revenue Cycle,54,Deloitte,54,Georgia  United States,Mid senior,Onsite
55,Superintendent - Data Center - Indianapolis,55,Michael Page,55,Indianapolis  IN,Mid senior,Onsite
56,Sr. Data Engineer,56,Experfy,56,Houston  TX,Mid senior,Onsite
57,RA/QA Post Market Data Analyst,57,Amick Brown - SAP  Cloud Technologies and Business Intelligence Staffing & Consulting,57,California  United States,Associate,Onsite
58,Medical Laboratory Scientist MLS-MT - Incentive Eligible,58,St. Luke's Duluth  MN,58,Duluth  MN,Mid senior,Onsite
59,Registered Nurse (RN) - Medical Laboratory Tech (MLT) - Per Diem at HealthTrust Workforce Solutions,59,Health eCareers,59,Austin  TX,Mid senior,Onsite
60,Sr ML Engineering Manager   Firefly App Integrations,60,Adobe,60,San Jose  CA,Mid senior,Onsite
61,Sales Representative  CoStar Data & Analytics - Washington D.C.,61,CoStar Group,61,Washington  DC,Mid senior,Onsite
62,Data Warehouse Analyst,62,Elevance Health,62,Arlington  VA,Mid senior,Onsite
63,Data Manager,63,Yale University,63,New Haven  CT,Mid senior,Onsite
64,Medical Technologist MT or MLT,64,Gables Search Group,64,Columbus  OH,Mid senior,Onsite
65,Data Analyst,65,Quantum World Technologies Inc.,65,Mountain View  CA,Mid senior,Onsite
66,Sr. Data Engineer (Hybrid),66,Jobs for Humanity,66,Paris  TX,Mid senior,Onsite
67,Technical Lead  Edge Data Center Operations,67,Roblox,67,Ashburn  VA,Mid senior,Onsite
68,Supply Chain Data Analyst,68,DENSO,68,Maryville  TN,Mid senior,Onsite
69,Manager  Data Loss Prevention (DLP) Engineer (Symantec),69,Jobs for Humanity,69,Joliet  IL,Mid senior,Onsite
70,Data Steward - Research Analysis Spec Sr,70,State of Minnesota,70,Alexandria  MN,Mid senior,Onsite
71,Contractor - Epic Clarity Data Analyst - Revenue Cycle,71,Deloitte,71,Texas  United States,Mid senior,Onsite
72,Laboratory Data Manager,72,The Institute of Cancer Research,72,Sutton  England  United Kingdom,Associate,Onsite
73,Customer Service Representative/Data Analyst/Data Entry Clerk,73,Univisioncommunicationsinc,73,Pictou  Nova Scotia  Canada,Mid senior,Onsite
74,Data Coordinator,74,Cottingham & Butler,74,Pittsburgh  PA,Associate,Onsite
75,Senior Manager  Machine Learning Engineering,75,ClickJobs.io,75,Hartford  CT,Mid senior,Onsite
76,Manager  Data Loss Prevention (DLP) Engineer (Symantec),76,Jobs for Humanity,76,Fredericksburg  VA,Mid senior,Onsite
77,Data Engineer,77,Jobs for Humanity,77,Hartford  CT,Mid senior,Onsite
78,Senior Machine Learning Engineer,78,Jobs for Humanity,78,Fredericksburg  VA,Mid senior,Onsite
79,Audit Manager - Data/Tech (BSA/AML including Sanctions),79,Bank of America,79,Charlotte  NC,Mid senior,Onsite
80,Business Data Analyst - III (701569),80,The Judge Group,80,Temple Terrace  FL,Mid senior,Onsite
81,Data Center Project Manager  US-West CPI,81,Amazon Web Services (AWS),81,Umatilla  OR,Mid senior,Onsite
