location_id,job_location
1,New Haven  CT
2,San Francisco  CA
3,New York  NY
4,Harrisburg  PA
5,Plano  TX
6,Chicago  IL
7,Boston  MA
8,Scranton  PA
9,Lake Buena Vista  FL
10,Sunnyvale  CA
11,Atlanta  GA
12,Pasadena  CA
13,Atlanta  GA
14,Yorba Linda  CA
15,Atlanta  GA
16,Wolverhampton  England  United Kingdom
17,Waterloo  Ontario  Canada
18,Austin  TX
19,State College-DuBois Area
20,Minneapolis  MN
21,Mississippi  United States
22,Greenwood Village  CO
23,Palo Alto  CA
24,London  England  United Kingdom
25,St Louis  MO
26,Albany  NY
27,Fredericksburg  VA
28,Washington  DC
29,Waukesha  WI
30,Philadelphia  PA
31,Dallas  TX
32,Awsworth  England  United Kingdom
33,Port Hueneme  CA
34,Paris  TX
35,Washington  DC
36,National  MD
37,West Lafayette  IN
38,Wembley  England  United Kingdom
39,Santa Clara  CA
40,Richmond  VA
41,Washington  DC
42,Chantilly  VA
43,London  England  United Kingdom
44,Winston-Salem  NC
45,Dallas  TX
46,Boston  MA
47,Sheffield  England  United Kingdom
48,Seattle  WA
49,Cypress  CA
50,San Antonio  TX
51,St Louis  MO
52,San Antonio  TX
53,Charlotte  NC
54,Georgia  United States
55,Indianapolis  IN
56,Houston  TX
57,California  United States
58,Duluth  MN
59,Austin  TX
60,San Jose  CA
61,Washington  DC
62,Arlington  VA
63,New Haven  CT
64,Columbus  OH
65,Mountain View  CA
66,Paris  TX
67,Ashburn  VA
68,Maryville  TN
69,Joliet  IL
70,Alexandria  MN
71,Texas  United States
72,Sutton  England  United Kingdom
73,Pictou  Nova Scotia  Canada
74,Pittsburgh  PA
75,Hartford  CT
76,Fredericksburg  VA
77,Hartford  CT
78,Fredericksburg  VA
79,Charlotte  NC
80,Temple Terrace  FL
81,Umatilla  OR
82,Bloomfield  CT
83,Charlottesville  VA
84,Silicon Valley  CA
85,Phoenix  AZ
86,McKinney  TX
87,Cincinnati  OH
88,Charlottesville  VA
89,New York  United States
90,San Francisco  CA
91,Poughkeepsie  NY
92,Waco  TX
93,North Carolina  United States
94,Quincy  WA
95,Billerica  MA
96,Pleasanton  CA
97,Oakland  CA
98,Austin  TX
99,London  England  United Kingdom
100,Washington  DC
101,Phoenix  AZ
102,West Haven  CT
103,Harrisonburg  VA
104,Belfast  Northern Ireland  United Kingdom
105,Richardson  TX
106,Washington  DC
107,Boston  MA
108,Melbourne  FL
109,Washington  DC
110,St Louis  MO
111,Chicago  IL
112,Toronto  Ontario  Canada
113,Henrico  VA
114,Sacramento  CA
115,Houston  TX
116,Palo Alto  CA
117,Harwell  England  United Kingdom
118,Omaha  NE
119,Fort Lauderdale  FL
120,Hoboken  NJ
121,Sterling  VA
122,Plano  TX
123,Atlanta  GA
124,Buffalo-Niagara Falls Area
125,San Jose  CA
126,Mountain View  CA
127,Littleton  CO
128,Atlanta  GA
129,Leesburg  VA
130,Palo Alto  CA
131,Louisville  KY
132,Toronto  Ontario  Canada
133,Chantilly  VA
134,Harrisonburg  VA
135,Manassas  VA
136,Ridgefield  CT
