skill_id,job_skills
1,Machine Learning
2,Programming
3,Python
4,Scala
5,Java
6,Data Engineering
7,Distributed Computing
8,Statistical Modeling
9,Optimization
10,Data Pipelines
11,Cloud Computing
12,DevOps
13,Software Development
14,Data Gathering
15,Data Preparation
16,Data Visualization
17,Machine Learning Frameworks
18,scikitlearn
19,PyTorch
20,Dask
21,Spark
22,TensorFlow
23,Distributed File Systems
24,Multi node Database Paradigms
25,Open Source ML Software
26,Responsible AI
27,Explainable AI
28,C++
29,MXNet
30,CUDA
31,OpenCL
32,OpenVX
33,Halide
34,SIMD programming models
35,MLspecific accelerators
36,Linux/unix environments
37,Deep learning frameworks
38,Computer vision deep learning models
39,ML software and hardware technology
40,Inference on edge platforms
41,Cloud ML training pipelines
42,HPC experience
43,Performance troubleshooting
44,Profiling
45,Roofline model
46,Analytical skills
47,Communication skills
48,ETL
49,Data Integration
50,Data Transformation
51,Data Warehousing
52,Business Intelligence
53,Data Modeling
54,Data Architecture
55,Data Quality
56,Data Validation
57,Data Cleansing
58,Performance Optimization
59,Performance Tuning
60,Troubleshooting
61,Documentation
62,Reporting
63,Data Analysis
64,Collaboration
65,Communication
66,SQL
67,Informatica
68,Talend
69,Apache NiFi
70,AWS Redshift
71,Azure SQL Data Warehouse
72,Financial/Banking
73,CloudBased Data Platforms
74,Regulatory Compliance
75,Data Lakes
76,Data Bricks
77,Azure Data Factory Pipelines
78,Data Warehouse
79,SQL Server
80,Azure
81,ETL/ELT
82,SQL Server Integration Services
83,TSQL
84,Data Formatting
85,Data Capture
86,Data Search
87,Data Retrieval
88,Data Extraction
89,Data Classification
90,Information Filtering
91,Data Mining Architectures
92,Modeling Standards
93,Data Analysis Methodologies
94,Database File Systems Optimization
95,API's
96,Analytics as a Service
97,Relational Databases
98,Dimensional Databases
99,Entity Relationships
100,Facts
101,Dimensions
102,Star Schema Concepts
103,Star Schema Terminology
104,Project Management
105,Organizational Skills
106,Technical Presentaion Skills
107,12+ Years of Relevant Experience
108,RDBMS
109,NoSQL
110,Redshift
111,Snowflake
112,Unit testing
113,Agile engineering
114,Big data technologies
115,Cloud computing (AWS Microsoft Azure Google Cloud)
116,Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi MySQL)
117,Realtime data and streaming applications
118,NoSQL implementation (Mongo Cassandra)
119,Data warehousing (Redshift Snowflake)
120,UNIX/Linux
121,Shell scripting
122,Data Warehouse (DW)
123,Extract/Transform/Load (ETL)
124,Oracle
125,VPD
126,MuleSoft
127,Cloudera Apache Hadoop Ecosystem
128,Hadoop
129,R
130,AI/ML
131,Predictive Analytics
132,Business Objects
133,Tableau
134,OBIA/OBIEE
135,Oracle Cloud Financials
136,Power Designer
137,Erwin
138,UNIX
139,ODBC
140,JDBC
141,Perl DBI
142,Shell Scripting
143,PL/SQL
144,SQL Developer
145,SQL Plus
146,SQL Loader
147,TOAD
148,Data Profiling
149,SourceTarget Mapping
150,Transformations
151,Business Rules
152,OWB
153,ODI
154,Data Stage
155,Unix Server
156,Windows Workstation
157,Windows Server
158,Microsoft Office
159,Excel
160,Analytic Skills
161,ProblemSolving
162,Communication Skills
163,Teamwork
164,Accountability
165,Attention to Detail
166,Accuracy
167,Generative AI
168,Cloudbased services
169,Risk management
170,Project management
171,Process management
172,Data model
173,PRIME system
174,Lean
175,Green Belt Certification
